ipr_id	pfam_id	pfam_name	ipr_name	source
IPR000026	PF00545	ribonuclease	Guanine-specific ribonuclease N1-like	universal_only
IPR000037	PF01668	SmpB protein	SsrA-binding protein	universal_only
IPR000055	PF01420	Type I restriction modification DNA specificity domain	Type I restriction modification DNA specificity domain	universal_only
IPR000061	PF01805	Surp module	SWAP/Surp	universal_only
IPR000119	PF00216	Bacterial DNA-binding protein	Histone-like DNA-binding protein	universal_only
IPR000268	PF01194	RNA polymerases N / 8 kDa subunit	DNA-directed RNA polymerase subunit RPABC5/Rpb10	universal_only
IPR000467	PF01585	G-patch domain	G-patch domain	universal_only
IPR000504	PF28441	RRM domain	RNA recognition motif domain	universal_only
IPR000504	PF16367	RNA recognition motif	RNA recognition motif domain	universal_only
IPR000504	PF00076	RNA recognition motif	RNA recognition motif domain	universal_only
IPR000551	PF13411	MerR HTH family regulatory protein	MerR-type HTH domain	universal_only
IPR000551	PF00376	MerR family regulatory protein	MerR-type HTH domain	universal_only
IPR000605	PF00910	RNA helicase	Helicase, superfamily 3, single-stranded DNA/RNA virus	universal_only
IPR000692	PF01269	Fibrillarin	rRNA 2'-O-methyltransferase fibrillarin-like	universal_only
IPR000722	PF00623	RNA polymerase Rpb1, domain 2	RNA polymerase, alpha subunit	universal_only
IPR000783	PF01191	RNA polymerase Rpb5, C-terminal domain	RNA polymerase, subunit H/Rpb5 C-terminal	universal_only
IPR000814	PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)	TATA-box binding protein	universal_only
IPR000843	PF00356	Bacterial regulatory proteins, lacI family	LacI-type HTH domain	green51+universal
IPR000989	PF01446	Replication protein	Replication protein	universal_only
IPR001037	PF00552	Integrase DNA binding domain	Integrase, C-terminal, retroviral	universal_only
IPR001040	PF01652	Eukaryotic initiation factor 4E	Translation Initiation factor eIF- 4e	universal_only
IPR001098	PF00476	DNA polymerase family A	DNA-directed DNA polymerase, family A, palm domain	universal_only
IPR001205	PF00680	Viral RNA-dependent RNA polymerase	RNA-directed RNA polymerase, C-terminal domain	universal_only
IPR001207	PF00872	Transposase, Mutator family	Transposase, mutator type	universal_only
IPR001208	PF00493	MCM P-loop domain	MCM domain	universal_only
