pfam_id	pfam_name	go_terms	source
PF00046	Homeodomain	GO:0003677:DNA binding	GO
PF00105	zf-C4	GO:0043565:sequence-specific DNA binding	GO
PF00125	Histone	GO:0003677:DNA binding	GO
PF00136	DNA_pol_B	GO:0003677:DNA binding	GO
PF00140	Sigma70_r1_2	GO:0003677:DNA binding	GO
PF00165	HTH_AraC	GO:0043565:sequence-specific DNA binding	GO
PF00178	Ets	GO:0043565:sequence-specific DNA binding	GO
PF00204	DNA_gyraseB	GO:0003677:DNA binding	GO
PF00216	Bac_DNA_binding	GO:0003677:DNA binding	GO
PF00239	Resolvase	GO:0003677:DNA binding	GO
PF00242	DNA_pol_viral_N	GO:0003677:DNA binding	GO
PF00250	Forkhead	GO:0043565:sequence-specific DNA binding	GO
PF00260	Protamine_P1	GO:0003677:DNA binding	GO
PF00269	SASP	GO:0003690:double-stranded DNA binding	GO
PF00292	PAX	GO:0003677:DNA binding	GO
PF00319	SRF-TF	GO:0003677:DNA binding	GO
PF00320	GATA	GO:0043565:sequence-specific DNA binding	GO
PF00325	Crp	GO:0003677:DNA binding	GO
PF00352	TBP	GO:0003677:DNA binding	GO
PF00356	LacI	GO:0003677:DNA binding	GO
PF00376	MerR	GO:0003677:DNA binding	GO
PF00436	SSB	GO:0003697:single-stranded DNA binding	GO
PF00440	TetR_N	GO:0003677:DNA binding	GO
PF00447	HSF_DNA-bind	GO:0043565:sequence-specific DNA binding	GO
PF00476	DNA_pol_A	GO:0003677:DNA binding	GO
PF00486	Trans_reg_C	GO:0003677:DNA binding	GO
PF00488	MutS_V	GO:0030983:mismatched DNA binding	GO
PF00493	MCM	GO:0003677:DNA binding	GO
PF00511	PPV_E2_C	GO:0003677:DNA binding	GO
PF00519	PPV_E1_C	GO:0003677:DNA binding	GO
PF00521	DNA_topoisoIV	GO:0003677:DNA binding	GO
PF00527	E7	GO:0003677:DNA binding	GO
PF00538	Linker_histone	GO:0003677:DNA binding	GO
PF00554	RHD_DNA_bind	GO:0003677:DNA binding	GO
PF00562	RNA_pol_Rpb2_6	GO:0003677:DNA binding	GO
PF00589	Phage_integrase	GO:0003677:DNA binding	GO
PF00605	IRF	GO:0000976:transcription cis-regulatory region binding	GO
PF00623	RNA_pol_Rpb1_2	GO:0003677:DNA binding	GO
PF00633	HHH	GO:0003677:DNA binding	GO
PF00645	zf-PARP	GO:0003677:DNA binding	GO
PF00649	Copper-fist	GO:0003677:DNA binding	GO
PF00705	PCNA_N	GO:0003677:DNA binding	GO
PF00712	DNA_pol3_beta	GO:0003677:DNA binding	GO
PF00747	Viral_DNA_bp	GO:0003697:single-stranded DNA binding	GO
PF00751	DM	GO:0043565:sequence-specific DNA binding	GO
PF00816	Histone_HNS	GO:0003677:DNA binding	GO
PF00841	Protamine_P2	GO:0003677:DNA binding	GO
PF00845	Gemini_BL1	GO:0003677:DNA binding	GO
PF00853	Runt	GO:0003677:DNA binding	GO
PF00870	P53	GO:0000976:transcription cis-regulatory region binding	GO
PF00872	Transposase_mut	GO:0003677:DNA binding	GO
PF00960	Neocarzinostat	GO:0003677:DNA binding	GO
PF00986	DNA_gyraseB_C	GO:0003677:DNA binding	GO
PF01028	Topoisom_I	GO:0003677:DNA binding	GO
PF01076	Mob_Pre	GO:0003677:DNA binding	GO
PF01101	HMG14_17	GO:0031492:nucleosomal DNA binding	GO
PF01119	DNA_mis_repair	GO:0030983:mismatched DNA binding	GO
PF01131	Topoisom_bac	GO:0003677:DNA binding	GO
PF01191	RNA_pol_Rpb5_C	GO:0003677:DNA binding	GO
PF01192	RNA_pol_Rpb6	GO:0003677:DNA binding	GO
PF01194	RNA_pol_N	GO:0003677:DNA binding	GO
PF01254	TP2	GO:0003677:DNA binding	GO
PF01272	GreA_GreB	GO:0003677:DNA binding	GO
PF01325	Fe_dep_repress	GO:0003677:DNA binding	GO
PF01342	SAND	GO:0003677:DNA binding	GO
PF01367	5_3_exonuc	GO:0003677:DNA binding	GO
PF01388	ARID	GO:0003677:DNA binding	GO
PF01396	Zn_ribbon_Top1	GO:0003677:DNA binding	GO
PF01420	Methylase_S	GO:0003677:DNA binding	GO
PF01429	MBD	GO:0003677:DNA binding	GO
PF01446	Rep_1	GO:0003677:DNA binding	GO
PF01498	HTH_Tnp_Tc3_2	GO:0003677:DNA binding	GO
PF01527	HTH_Tnp_1	GO:0003677:DNA binding	GO
PF01548	DEDD_Tnp_IS110	GO:0003677:DNA binding	GO
PF01555	N6_N4_Mtase	GO:0003677:DNA binding	GO
PF01580	FtsK_SpoIIIE	GO:0003677:DNA binding	GO
PF01609	DDE_Tnp_1	GO:0003677:DNA binding	GO
PF01624	MutS_I	GO:0030983:mismatched DNA binding	GO
PF01628	HrcA	GO:0003677:DNA binding	GO
PF01719	Rep_OBD	GO:0003677:DNA binding	GO
PF01736	Polyoma_agno	GO:0003677:DNA binding	GO
PF01754	zf-A20	GO:0003677:DNA binding	GO
PF01797	Y1_Tnp	GO:0003677:DNA binding	GO
PF01807	Zn_ribbon_DnaG	GO:0003677:DNA binding	GO
PF01834	XRCC1_N	GO:0003684:damaged DNA binding	GO
PF01984	dsDNA_bind	GO:0003677:DNA binding	GO
PF01997	Translin	GO:0043565:sequence-specific DNA binding	GO
PF02008	zf-CXXC	GO:0003677:DNA binding	GO
PF02079	TP1	GO:0003677:DNA binding	GO
PF02155	GCR	GO:0003677:DNA binding	GO
PF02161	Prog_receptor	GO:0003677:DNA binding	GO
PF02166	Androgen_recep	GO:0003677:DNA binding	GO
PF02178	AT_hook	GO:0003677:DNA binding	GO
PF02183	HALZ	GO:0043565:sequence-specific DNA binding	GO
PF02198	SAM_PNT	GO:0043565:sequence-specific DNA binding	GO
PF02217	T_Ag_DNA_bind	GO:0003688:DNA replication origin binding	GO
