pfam_id	in_go	in_rbpworld	tier
PF00009	True	True	both
PF00013	True	True	both
PF00035	False	True	rbpworld_only
PF00074	False	True	rbpworld_only
PF00075	True	True	both
PF00076	True	True	both
PF00078	False	True	rbpworld_only
PF00096	False	True	rbpworld_only
PF00098	True	True	both
PF00133	True	True	both
PF00152	True	True	both
PF00163	True	True	both
PF00164	True	True	both
PF00177	False	True	rbpworld_only
PF00181	False	True	rbpworld_only
PF00189	True	True	both
PF00203	True	True	both
PF00237	True	True	both
PF00238	True	True	both
PF00252	False	True	rbpworld_only
PF00253	True	True	both
PF00261	False	True	rbpworld_only
PF00262	True	True	both
PF00270	True	True	both
PF00276	True	True	both
PF00281	False	True	rbpworld_only
PF00297	True	True	both
PF00298	True	True	both
PF00312	True	True	both
PF00313	True	True	both
PF00318	True	True	both
PF00327	False	True	rbpworld_only
PF00330	False	True	rbpworld_only
PF00333	True	True	both
PF00338	False	True	rbpworld_only
PF00347	True	True	both
PF00366	True	True	both
PF00380	True	True	both
PF00398	False	True	rbpworld_only
PF00410	True	True	both
PF00411	True	True	both
PF00416	True	True	both
PF00428	False	True	rbpworld_only
PF00444	True	True	both
PF00445	True	True	both
PF00448	True	True	both
PF00453	True	True	both
PF00466	False	True	rbpworld_only
PF00467	False	True	rbpworld_only
PF00468	True	True	both
PF00471	True	True	both
PF00472	True	True	both
PF00542	True	True	both
PF00545	True	True	both
PF00562	True	True	both
PF00565	False	True	rbpworld_only
PF00567	False	True	rbpworld_only
PF00570	True	True	both
PF00572	True	True	both
PF00573	True	True	both
PF00575	True	True	both
PF00579	True	True	both
PF00580	True	True	both
PF00587	True	True	both
PF00588	True	True	both
PF00598	True	False	go_only
PF00600	True	False	go_only
PF00602	True	False	go_only
PF00603	True	False	go_only
PF00622	False	True	rbpworld_only
PF00623	True	True	both
PF00636	True	True	both
PF00641	False	True	rbpworld_only
PF00642	True	True	both
PF00644	True	True	both
PF00647	True	True	both
PF00658	True	True	both
PF00673	False	True	rbpworld_only
PF00680	True	True	both
PF00687	False	True	rbpworld_only
PF00694	False	True	rbpworld_only
PF00736	True	True	both
PF00749	True	True	both
PF00750	False	True	rbpworld_only
PF00753	False	True	rbpworld_only
PF00773	True	True	both
PF00806	True	True	both
PF00825	True	True	both
PF00827	True	True	both
PF00828	False	True	rbpworld_only
PF00829	True	True	both
PF00830	True	True	both
PF00831	True	True	both
PF00832	True	True	both
PF00833	True	True	both
PF00849	True	True	both
PF00861	True	True	both
PF00886	True	True	both
PF00889	True	True	both
PF00900	False	True	rbpworld_only
PF00910	True	True	both
PF00929	False	True	rbpworld_only
PF00935	True	True	both
PF00937	True	False	go_only
PF00940	False	True	rbpworld_only
PF00949	True	False	go_only
PF00978	True	True	both
PF00981	True	False	go_only
PF00998	True	True	both
PF01000	True	True	both
PF01005	True	False	go_only
PF01008	False	True	rbpworld_only
PF01015	True	True	both
PF01016	True	True	both
PF01020	True	True	both
PF01021	True	False	go_only
PF01029	True	False	go_only
PF01042	False	True	rbpworld_only
PF01084	True	True	both
PF01090	True	True	both
PF01092	True	True	both
PF01107	False	True	rbpworld_only
PF01137	False	True	rbpworld_only
PF01138	False	True	rbpworld_only
PF01139	True	True	both
PF01142	True	True	both
PF01157	True	True	both
PF01158	True	True	both
PF01159	True	True	both
PF01163	True	True	both
PF01165	True	True	both
PF01170	False	True	rbpworld_only
PF01172	False	True	rbpworld_only
PF01176	True	True	both
PF01189	False	True	rbpworld_only
PF01191	True	True	both
PF01192	True	True	both
PF01193	True	True	both
PF01194	True	True	both
PF01195	True	True	both
PF01196	True	True	both
PF01197	True	True	both
PF01198	True	True	both
PF01199	True	True	both
PF01200	True	True	both
PF01201	False	True	rbpworld_only
PF01207	False	True	rbpworld_only
PF01223	True	True	both
PF01245	True	True	both
PF01246	False	True	rbpworld_only
PF01247	True	True	both
PF01248	False	True	rbpworld_only
PF01249	True	True	both
PF01250	True	True	both
PF01251	True	True	both
PF01253	True	True	both
PF01269	True	True	both
PF01280	False	True	rbpworld_only
PF01281	False	True	rbpworld_only
PF01282	True	True	both
PF01283	True	True	both
PF01287	True	True	both
PF01294	True	True	both
PF01300	True	True	both
PF01331	True	True	both
PF01336	True	True	both
PF01351	True	True	both
PF01367	False	True	rbpworld_only
PF01386	True	True	both
PF01406	False	True	rbpworld_only
PF01409	True	True	both
PF01411	True	True	both
PF01416	True	True	both
PF01423	False	True	rbpworld_only
PF01424	True	True	both
PF01429	True	True	both
PF01446	False	True	rbpworld_only
PF01472	True	True	both
PF01479	True	True	both
PF01480	False	True	rbpworld_only
PF01505	False	True	rbpworld_only
PF01509	True	True	both
PF01517	True	False	go_only
PF01518	True	True	both
PF01535	False	True	rbpworld_only
PF01585	True	True	both
PF01588	True	True	both
PF01599	True	True	both
PF01612	True	True	both
PF01632	True	True	both
PF01649	True	True	both
PF01652	True	True	both
PF01655	True	True	both
PF01660	True	True	both
PF01665	True	False	go_only
PF01667	True	True	both
PF01668	True	False	go_only
PF01702	True	True	both
PF01715	False	True	rbpworld_only
PF01728	True	True	both
PF01743	True	True	both
PF01746	False	True	rbpworld_only
PF01765	False	True	rbpworld_only
PF01775	True	True	both
PF01776	True	True	both
PF01777	True	True	both
PF01778	False	True	rbpworld_only
PF01779	True	True	both
PF01780	True	True	both
PF01781	True	True	both
PF01782	True	True	both
PF01783	True	True	both
PF01787	True	False	go_only
PF01798	False	True	rbpworld_only
PF01805	True	True	both
PF01806	True	False	go_only
PF01818	True	False	go_only
PF01846	False	True	rbpworld_only
PF01850	False	True	rbpworld_only
PF01868	True	True	both
PF01873	True	True	both
PF01876	True	True	both
PF01878	False	True	rbpworld_only
PF01885	True	True	both
PF01900	True	True	both
PF01907	True	True	both
PF01918	True	True	both
PF01921	True	True	both
PF01922	True	True	both
PF01926	True	True	both
PF01928	False	True	rbpworld_only
PF01929	True	True	both
PF01936	False	True	rbpworld_only
PF01974	True	True	both
PF01981	True	True	both
PF01985	True	True	both
PF01994	True	True	both
PF01997	True	True	both
PF02005	True	True	both
PF02020	True	True	both
PF02037	False	True	rbpworld_only
PF02091	True	True	both
PF02092	True	True	both
PF02123	True	True	both
PF02136	False	True	rbpworld_only
PF02137	True	True	both
PF02150	False	True	rbpworld_only
PF02165	True	True	both
PF02170	True	True	both
PF02171	True	True	both
PF02184	True	True	both
PF02186	False	True	rbpworld_only
PF02229	True	True	both
PF02265	True	True	both
PF02272	True	True	both
PF02290	True	True	both
PF02295	True	True	both
PF02342	False	True	rbpworld_only
PF02403	False	True	rbpworld_only
PF02438	True	False	go_only
PF02475	False	True	rbpworld_only
PF02482	True	True	both
PF02527	True	True	both
PF02536	True	True	both
PF02547	True	True	both
PF02559	False	True	rbpworld_only
PF02590	True	True	both
PF02598	False	True	rbpworld_only
PF02599	True	False	go_only
PF02637	True	True	both
PF02676	False	True	rbpworld_only
PF02686	False	True	rbpworld_only
PF02739	False	True	rbpworld_only
PF02778	True	True	both
PF02792	True	True	both
PF02834	False	True	rbpworld_only
PF02840	True	True	both
PF02847	False	True	rbpworld_only
PF02854	True	True	both
PF02881	True	True	both
PF02912	True	True	both
PF02926	True	True	both
PF02938	False	True	rbpworld_only
PF02940	True	True	both
PF02978	True	False	go_only
PF02994	False	True	rbpworld_only
PF03012	True	True	both
PF03014	True	False	go_only
PF03021	False	True	rbpworld_only
PF03026	True	True	both
PF03054	False	True	rbpworld_only
PF03066	False	True	rbpworld_only
PF03118	True	True	both
PF03123	True	True	both
PF03129	False	True	rbpworld_only
PF03143	False	True	rbpworld_only
PF03144	True	True	both
PF03147	False	True	rbpworld_only
PF03159	True	True	both
PF03171	False	True	rbpworld_only
PF03178	True	True	both
PF03194	True	True	both
PF03246	True	False	go_only
PF03291	False	True	rbpworld_only
PF03294	True	True	both
PF03296	True	True	both
PF03297	False	True	rbpworld_only
PF03341	True	True	both
PF03343	True	True	both
PF03367	False	True	rbpworld_only
PF03368	True	True	both
PF03371	False	True	rbpworld_only
PF03372	True	True	both
PF03431	True	True	both
PF03439	False	True	rbpworld_only
PF03457	False	True	rbpworld_only
PF03463	False	True	rbpworld_only
PF03464	False	True	rbpworld_only
PF03465	False	True	rbpworld_only
PF03467	False	True	rbpworld_only
PF03468	True	True	both
PF03481	False	True	rbpworld_only
PF03483	True	True	both
PF03484	True	True	both
PF03485	True	True	both
PF03501	False	True	rbpworld_only
PF03587	True	True	both
PF03588	True	True	both
PF03604	False	True	rbpworld_only
PF03631	False	True	rbpworld_only
PF03657	False	True	rbpworld_only
PF03660	True	True	both
PF03693	False	True	rbpworld_only
PF03715	False	True	rbpworld_only
PF03719	True	True	both
PF03725	False	True	rbpworld_only
PF03726	True	True	both
PF03737	False	True	rbpworld_only
PF03764	True	True	both
PF03810	True	True	both
PF03813	False	True	rbpworld_only
PF03828	False	True	rbpworld_only
PF03841	False	True	rbpworld_only
PF03854	True	False	go_only
PF03861	True	True	both
PF03868	True	True	both
PF03870	True	True	both
PF03871	True	True	both
PF03874	True	True	both
PF03876	True	True	both
PF03879	False	True	rbpworld_only
PF03880	False	True	rbpworld_only
PF03914	False	True	rbpworld_only
PF03919	False	True	rbpworld_only
PF03939	False	True	rbpworld_only
PF03943	True	True	both
PF03946	False	True	rbpworld_only
PF03947	True	True	both
PF03948	False	True	rbpworld_only
PF03950	True	True	both
PF03966	False	True	rbpworld_only
PF03998	True	True	both
PF04000	False	True	rbpworld_only
PF04003	False	True	rbpworld_only
PF04004	False	True	rbpworld_only
PF04006	True	True	both
PF04031	True	True	both
PF04032	True	True	both
PF04037	True	True	both
PF04050	False	True	rbpworld_only
PF04054	False	True	rbpworld_only
PF04059	False	True	rbpworld_only
PF04065	True	True	both
PF04068	False	True	rbpworld_only
PF04090	False	True	rbpworld_only
PF04135	True	True	both
PF04146	True	True	both
PF04147	True	True	both
PF04153	False	True	rbpworld_only
PF04158	False	True	rbpworld_only
PF04179	False	True	rbpworld_only
PF04189	True	True	both
PF04192	True	True	both
PF04252	False	True	rbpworld_only
PF04266	False	True	rbpworld_only
PF04287	False	True	rbpworld_only
PF04381	True	True	both
PF04408	False	True	rbpworld_only
PF04410	True	True	both
PF04414	True	True	both
PF04427	True	True	both
PF04446	True	True	both
PF04452	False	True	rbpworld_only
PF04493	True	True	both
PF04514	True	True	both
PF04522	True	False	go_only
PF04539	False	True	rbpworld_only
PF04557	True	True	both
PF04558	True	True	both
PF04560	True	True	both
PF04561	True	True	both
PF04563	True	True	both
PF04565	True	True	both
PF04566	True	True	both
PF04567	True	True	both
PF04615	False	True	rbpworld_only
PF04676	False	True	rbpworld_only
PF04677	False	True	rbpworld_only
PF04705	True	True	both
PF04722	True	True	both
PF04758	True	True	both
PF04760	False	True	rbpworld_only
PF04774	False	True	rbpworld_only
PF04818	False	True	rbpworld_only
PF04839	False	True	rbpworld_only
PF04845	True	True	both
PF04851	True	True	both
PF04857	False	True	rbpworld_only
PF04889	True	True	both
PF04900	True	True	both
PF04925	False	True	rbpworld_only
PF04926	True	True	both
PF04935	False	True	rbpworld_only
PF04938	True	True	both
PF04939	True	True	both
PF04957	False	True	rbpworld_only
PF04959	False	True	rbpworld_only
PF04981	False	True	rbpworld_only
PF04983	True	True	both
PF04988	True	True	both
PF04990	True	True	both
PF04992	True	True	both
PF04997	True	True	both
PF04998	True	True	both
PF05000	True	True	both
PF05001	True	True	both
PF05011	True	True	both
PF05022	False	True	rbpworld_only
PF05026	True	True	both
PF05046	True	True	both
PF05047	False	True	rbpworld_only
PF05063	False	True	rbpworld_only
PF05066	True	True	both
PF05087	True	False	go_only
PF05091	True	True	both
PF05110	False	True	rbpworld_only
PF05132	True	True	both
PF05148	True	True	both
PF05158	True	True	both
PF05162	True	True	both
PF05172	False	True	rbpworld_only
PF05175	True	True	both
PF05182	False	True	rbpworld_only
PF05183	False	True	rbpworld_only
PF05188	False	True	rbpworld_only
PF05189	False	True	rbpworld_only
PF05191	False	True	rbpworld_only
PF05206	True	True	both
PF05240	False	True	rbpworld_only
PF05253	False	True	rbpworld_only
PF05282	False	True	rbpworld_only
PF05291	False	True	rbpworld_only
PF05316	True	True	both
PF05383	False	True	rbpworld_only
PF05391	False	True	rbpworld_only
PF05413	True	False	go_only
PF05456	True	True	both
PF05470	True	True	both
PF05486	False	True	rbpworld_only
PF05505	True	True	both
PF05615	True	True	both
PF05634	True	True	both
PF05635	False	True	rbpworld_only
PF05641	False	True	rbpworld_only
PF05645	True	True	both
PF05652	True	True	both
PF05670	False	True	rbpworld_only
PF05731	True	True	both
PF05733	True	False	go_only
PF05741	False	True	rbpworld_only
PF05746	True	True	both
PF05788	True	False	go_only
PF05843	True	True	both
PF05881	True	True	both
PF05890	False	True	rbpworld_only
PF05958	True	True	both
PF05997	True	True	both
PF06003	True	True	both
PF06058	True	True	both
PF06093	False	True	rbpworld_only
